StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,swl1,swl2,swl3,swl4,swl5,fses1,fses2,fses3,fses4,fses5,fses6,sex,sex_55_TEXT,age,education,religion_importance,pray,prolific_ID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Dear participant,



We would like to invite you to take part in our research. In this letter, we inform you about the present research study. Specifically, we will describe its goals, the types of questions we will ask you, how much time and effort we ask from you, and the possible benefits and disadvantages of participation. Please read the following information carefully and contact the researcher for more information if you have any questions. After you have read the information and your questions have been answered, you can decide if you want to participate in this study. Your participation is entirely voluntary. If you decide to participate, please indicate so at the bottom of this form.",In most ways my life is close to my ideal.,The conditions of my life are excellent,I am satisfied with my life.,So far I have gotten the important things I want in life.,"If I could live my life over, I would change almost nothing.","It is hard to stick to my spending plan when
unexpected expenses arise.","It is challenging to make progress toward my
financial goals.","When unexpected expenses occur I usually
have to use credit.","When faced with a financial challenge, I have
a hard time figuring out a solution.","I lack confidence in my ability to manage my
finances.","I worry about running out of money in
retirement.",Are you... - Selected Choice,Are you... - I prefer to self-describe - Text,Please indicate your age:,What is the highest level of education you have completed?,How important is religion in your life?,"Apart from weddings and funerals, about how often do you pray?",prolific_ID
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID7""}","{""ImportId"":""QID7_3_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""prolific_ID""}"
2025-02-10 01:14:56,2025-02-10 01:14:57,2,,100,1,1,2025-02-10 01:14:58,R_000LlFtqSLMvvX8,,,,,,,test,,1,2,5,1,1,7,7,4,4,5,4,4,0,,43,1,3,8,22886
2025-02-10 01:14:58,2025-02-10 01:14:58,2,,100,0,1,2025-02-10 01:14:58,R_dcoAkHIb61JskOW,,,,,,,test,,1,2,5,1,7,3,7,1,3,3,6,5,99,,58,3,3,2,30001
2025-02-10 01:14:58,2025-02-10 01:14:58,2,,100,0,1,2025-02-10 01:14:58,R_5u0LMn2VOsWxbBY,,,,,,,test,,1,1,2,5,4,3,5,2,3,7,7,5,0,,89,3,4,7,27303
2025-02-10 01:14:58,2025-02-10 01:14:58,2,,100,0,1,2025-02-10 01:14:58,R_7TII90c3sk8NwsS,,,,,,,test,,1,4,1,3,6,3,2,2,1,7,4,4,1,,84,4,1,1,27293
2025-02-10 01:14:58,2025-02-10 01:14:58,2,,100,0,1,2025-02-10 01:14:58,R_6Xy592VZR6jCKA6,,,,,,,test,,1,1,6,4,2,5,6,5,6,4,3,2,0,,60,5,1,6,41593
2025-02-10 01:14:58,2025-02-10 01:14:58,2,,100,0,1,2025-02-10 01:14:58,R_5BBijI5BvBh227s,,,,,,,test,,1,5,5,4,7,4,6,4,5,4,2,5,0,,62,1,2,8,34823
2025-02-10 01:14:59,2025-02-10 01:14:59,2,,100,0,1,2025-02-10 01:14:59,R_7URMbv1BOw2OIWG,,,,,,,test,,1,2,3,6,1,6,6,3,7,1,1,1,99,,52,4,2,8,31165
2025-02-10 01:14:59,2025-02-10 01:14:59,2,,100,0,1,2025-02-10 01:14:59,R_2ntUhRSCuyPKjd4,,,,,,,test,,1,1,1,3,1,6,6,1,6,5,5,6,0,,19,6,4,3,34801
2025-02-10 01:14:59,2025-02-10 01:14:59,2,,100,0,1,2025-02-10 01:14:59,R_bQUwohhnzfWv0qy,,,,,,,test,,1,4,5,7,6,5,1,6,3,1,6,1,0,,92,1,4,5,42217
2025-02-10 01:14:59,2025-02-10 01:14:59,2,,100,0,1,2025-02-10 01:14:59,R_9pdSjNZHLYr1V8W,,,,,,,test,,1,1,1,5,3,1,5,2,2,2,2,2,1,,31,2,2,3,16959
2025-02-10 01:14:59,2025-02-10 01:14:59,2,,100,0,1,2025-02-10 01:14:59,R_55SR4QJVH2dyhPo,,,,,,,test,,1,6,6,5,6,7,3,7,2,1,6,1,99,,90,4,3,3,28673
2025-02-10 01:14:59,2025-02-10 01:14:59,2,,100,0,1,2025-02-10 01:15:00,R_2l6pZP9LQwaRFqe,,,,,,,test,,1,6,1,7,6,5,3,4,1,4,7,2,0,,83,5,2,7,26130
2025-02-10 01:15:00,2025-02-10 01:15:00,2,,100,0,1,2025-02-10 01:15:00,R_8tUMEFfMRFFDJCm,,,,,,,test,,1,2,6,4,3,7,4,6,6,3,6,1,99,,25,6,2,7,14042
2025-02-10 01:15:00,2025-02-10 01:15:00,2,,100,0,1,2025-02-10 01:15:00,R_6E7w5kXVDXSx6h8,,,,,,,test,,1,3,2,5,2,6,1,3,1,4,6,7,1,,66,3,1,5,20095
2025-02-10 01:15:00,2025-02-10 01:15:00,2,,100,0,1,2025-02-10 01:15:00,R_cHNgtoxeGYU1Y0e,,,,,,,test,,1,3,7,1,1,6,7,7,6,5,3,6,55,Mattis pede cras tincidunt tempor tincidunt non egestas dictumst. Montes aliquam porta natoque ullamcorper.,41,2,2,6,20133
2025-02-10 01:15:00,2025-02-10 01:15:00,2,,100,0,1,2025-02-10 01:15:00,R_cwIWDqjx6Fpo9DM,,,,,,,test,,1,6,7,3,5,3,5,6,4,6,6,7,55,"Mattis primis maecenas facilisi nonummy rhoncus vivamus nonummy, dictumst! Dignissim velit. Mattis, tellus.",62,3,3,5,19049
2025-02-10 01:15:00,2025-02-10 01:15:00,2,,100,0,1,2025-02-10 01:15:00,R_2nQiNCZ080FBR54,,,,,,,test,,1,4,5,5,3,3,3,4,1,1,5,5,0,,40,6,5,7,42886
2025-02-10 01:15:00,2025-02-10 01:15:00,2,,100,0,1,2025-02-10 01:15:01,R_4SicDGjHvTsFZI2,,,,,,,test,,1,7,4,7,7,3,4,7,2,4,5,6,0,,23,4,4,6,24130
2025-02-10 01:15:01,2025-02-10 01:15:01,2,,100,0,1,2025-02-10 01:15:01,R_bCWrPTnB9AIFOB0,,,,,,,test,,1,4,2,4,2,2,5,3,3,7,6,6,1,,95,6,4,3,38047
2025-02-10 01:15:01,2025-02-10 01:15:01,2,,100,0,1,2025-02-10 01:15:01,R_8A1fWI3a5oa206O,,,,,,,test,,1,3,6,2,2,5,4,5,4,4,2,6,0,,69,5,2,6,18787
2025-02-10 01:15:01,2025-02-10 01:15:01,2,,100,0,1,2025-02-10 01:15:01,R_bsc3oNjPoyZuZGS,,,,,,,test,,1,5,7,7,3,6,7,5,3,1,6,4,55,Tempor? Sem scelerisque lorem. Aenean sodales aliquam magnis at pellentesque ipsum arcu fringilla.,61,2,2,6,32540
2025-02-10 01:15:01,2025-02-10 01:15:01,2,,100,0,1,2025-02-10 01:15:01,R_7UMddsa70OGcD1s,,,,,,,test,,1,7,6,6,2,3,6,6,5,2,1,5,1,,55,3,5,6,17829
2025-02-10 01:15:01,2025-02-10 01:15:01,2,,100,0,1,2025-02-10 01:15:01,R_0jK4lPaZioV2KSG,,,,,,,test,,1,6,7,4,1,3,5,3,1,5,1,4,1,,65,3,1,3,19328
2025-02-10 01:15:01,2025-02-10 01:15:01,2,,100,0,1,2025-02-10 01:15:02,R_eJLtLHSBFrzy0B0,,,,,,,test,,1,3,3,7,5,5,2,7,4,4,4,7,55,Gravida tempora? Velit ab eu imperdiet nibh. Ridiculus rutrum bibendum risus. Interdum fringilla malesuada? Scelerisque.,74,2,4,3,16199
2025-02-10 01:15:02,2025-02-10 01:15:02,2,,100,0,1,2025-02-10 01:15:02,R_1BqklnCw7F6Lt1Y,,,,,,,test,,1,5,5,3,1,,1,4,2,2,4,7,0,,86,4,3,8,25948
2025-02-10 01:15:02,2025-02-10 01:15:02,2,,100,0,1,2025-02-10 01:15:02,R_elnTBdz2hvZ3Mrk,,,,,,,test,,1,5,3,7,6,4,1,7,4,7,5,7,99,,66,6,3,2,21035
2025-02-10 01:15:02,2025-02-10 01:15:02,2,,100,0,1,2025-02-10 01:15:02,R_5AZ7G5HmZw2rtuS,,,,,,,test,,1,4,4,6,4,,6,1,2,2,7,2,55,"Non praesent dictumst risus velit porta, commodo, felis ipsum accumsan.",80,3,5,8,42135
2025-02-10 01:15:02,2025-02-10 01:15:02,2,,100,0,1,2025-02-10 01:15:02,R_8wE19Yg4eux28HI,,,,,,,test,,1,3,2,7,1,7,7,5,3,2,3,7,99,,65,2,1,2,26234
2025-02-10 01:15:02,2025-02-10 01:15:02,2,,100,0,1,2025-02-10 01:15:02,R_9zt9czlzh7FBno2,,,,,,,test,,1,6,1,2,7,4,4,5,7,7,5,2,99,,40,1,5,2,17671
2025-02-10 01:15:02,2025-02-10 01:15:03,2,,100,1,1,2025-02-10 01:15:03,R_9oEPfSmIIBcJTEO,,,,,,,test,,1,2,6,1,1,,1,3,4,1,2,3,99,,40,3,5,3,14973
2025-02-10 01:15:03,2025-02-10 01:15:03,2,,100,0,1,2025-02-10 01:15:03,R_6L0iFZ7c1uvxGGW,,,,,,,test,,1,5,6,2,7,1,7,6,7,5,3,1,1,,27,1,4,4,25445
2025-02-10 01:15:03,2025-02-10 01:15:03,2,,100,0,1,2025-02-10 01:15:03,R_d4DchaCMrlIsDsi,,,,,,,test,,1,4,4,7,3,2,6,6,3,6,7,4,1,,101,4,2,5,18443
2025-02-10 01:15:03,2025-02-10 01:15:03,2,,100,0,1,2025-02-10 01:15:03,R_41N2ZwWBu7nwfjg,,,,,,,test,,1,3,1,4,4,1,6,1,7,7,2,5,0,,56,4,3,6,14147
2025-02-10 01:15:03,2025-02-10 01:15:03,2,,100,0,1,2025-02-10 01:15:03,R_7TYCOY0FxVNfXX8,,,,,,,test,,1,3,5,7,1,4,7,6,6,6,7,7,99,,52,6,1,5,36045
2025-02-10 01:15:03,2025-02-10 01:15:03,2,,100,0,1,2025-02-10 01:15:03,R_3KQIE9ggLbPG80m,,,,,,,test,,1,1,1,6,3,7,4,2,5,3,6,5,0,,41,1,2,1,15240
2025-02-10 01:15:04,2025-02-10 01:15:04,2,,100,0,1,2025-02-10 01:15:04,R_b7yW2zkQJ9IOKyO,,,,,,,test,,1,1,1,5,1,,7,7,3,1,2,1,1,,93,6,3,2,40474
2025-02-10 01:15:04,2025-02-10 01:15:04,2,,100,0,1,2025-02-10 01:15:04,R_82mrQO0RmB79MG2,,,,,,,test,,1,7,3,6,3,2,1,1,7,5,1,3,1,,60,2,4,1,32021
2025-02-10 01:15:04,2025-02-10 01:15:04,2,,100,0,1,2025-02-10 01:15:04,R_81Ubpq9H4tEI2Pk,,,,,,,test,,1,3,3,6,4,,5,7,3,5,6,2,1,,24,5,3,2,43086
2025-02-10 01:15:04,2025-02-10 01:15:04,2,,100,0,1,2025-02-10 01:15:04,R_agyOFU9S3rKLzlc,,,,,,,test,,1,7,3,4,4,,3,2,4,4,3,4,55,"Molestie mauris morbi. Egestas rhoncus lectus. Egestas, dolorem sapien! Curabitur faucibus pharetra. Velit.",93,5,4,1,33506
2025-02-10 01:15:04,2025-02-10 01:15:04,2,,100,0,1,2025-02-10 01:15:04,R_erId2tqZI2GuOUK,,,,,,,test,,1,6,7,2,7,4,4,5,7,2,5,6,0,,64,1,5,1,39129
2025-02-10 01:15:04,2025-02-10 01:15:04,2,,100,0,1,2025-02-10 01:15:04,R_a3N23iVPDg97mmO,,,,,,,test,,1,7,3,4,4,2,7,6,7,5,4,4,55,Maecenas odio dolorem. Lacus ultrices pede vestibulum accumsan imperdiet urna.,22,1,5,2,29617
2025-02-10 01:15:05,2025-02-10 01:15:05,2,,100,0,1,2025-02-10 01:15:05,R_4NJkXo9W25CAznU,,,,,,,test,,1,2,4,6,3,4,3,7,2,6,5,6,0,,87,6,4,6,43424
2025-02-10 01:15:05,2025-02-10 01:15:05,2,,100,0,1,2025-02-10 01:15:05,R_7OnPtteku6x5uOW,,,,,,,test,,1,3,2,1,3,,5,2,2,2,4,5,0,,90,5,4,7,35847
2025-02-10 01:15:05,2025-02-10 01:15:05,2,,100,0,1,2025-02-10 01:15:05,R_07lxTaXvWGIJLng,,,,,,,test,,1,7,2,6,3,6,3,5,6,3,6,2,55,Venenatis tincidunt quis vehicula leo maecenas. In ut tempus. Ac magna.,97,1,2,6,38259
2025-02-10 01:15:05,2025-02-10 01:15:05,2,,100,0,1,2025-02-10 01:15:05,R_daqDV6GqcVLZaCO,,,,,,,test,,1,1,7,6,3,4,1,5,6,3,7,2,0,,56,1,2,4,19872
2025-02-10 01:15:05,2025-02-10 01:15:05,2,,100,0,1,2025-02-10 01:15:05,R_eP8BEykYUnAMaii,,,,,,,test,,1,5,4,2,6,7,5,5,1,6,5,3,0,,21,4,1,7,25488
2025-02-10 01:15:05,2025-02-10 01:15:05,2,,100,0,1,2025-02-10 01:15:05,R_ekBwFVG5W1vkD6S,,,,,,,test,,1,4,4,1,3,,1,3,3,5,2,2,55,"Risus. Neque et donec! Proin elementum lacus consequat bibendum, per in.",101,3,1,7,24421
2025-02-10 01:15:06,2025-02-10 01:15:06,2,,100,0,1,2025-02-10 01:15:06,R_6D3Bu57obVTSYK2,,,,,,,test,,1,2,5,6,3,3,5,2,6,5,3,1,0,,50,4,1,8,38885
2025-02-10 01:15:06,2025-02-10 01:15:06,2,,100,0,1,2025-02-10 01:15:06,R_50TPnS7TvGPh3fw,,,,,,,test,,1,5,1,2,6,4,1,7,6,7,3,5,0,,366,1,3,4,20002
2025-02-10 01:15:06,2025-02-10 01:15:06,2,,100,0,1,2025-02-10 01:15:06,R_4UDhfmS2MEpMg0C,,,,,,,test,,1,1,3,5,7,1,1,2,2,5,4,4,99,,45,1,2,5,40365
2025-02-10 01:15:06,2025-02-10 01:15:06,2,,100,0,1,2025-02-10 01:15:06,R_8kNAcIE65qoxH1k,,,,,,,test,,1,5,3,6,5,4,3,6,3,2,2,2,55,Volutpat? Eleifend. Curabitur potenti ante imperdiet porta volutpat orci fusce ligula enim blandit.,103,1,2,2,38922
2025-02-10 01:15:06,2025-02-10 01:15:06,2,,100,0,1,2025-02-10 01:15:06,R_5o77u8dNYnt0FXo,,,,,,,test,,1,6,7,2,1,,2,1,3,1,4,3,0,,26,3,3,8,29523
2025-02-10 01:15:06,2025-02-10 01:15:06,2,,100,0,1,2025-02-10 01:15:06,R_d5TIfo4ckwYFxiu,,,,,,,test,,1,4,4,1,6,6,7,7,4,4,4,6,0,,23,3,3,5,21400
2025-02-10 01:15:07,2025-02-10 01:15:07,2,,100,0,1,2025-02-10 01:15:07,R_41oamjclKqI7Sqa,,,,,,,test,,1,7,6,7,2,3,7,6,4,4,7,1,55,Tortor erat. Volutpat posuere est interdum! Malesuada porta posuere integer nibh dolorem sodales platea.,61,6,4,1,14925
